id,Country,Percent_2019,Percent_2020,Percent_2021,Percent_2022,Change_19_20,Change_20_21,Change_21_22
032,Argentina,83.6,91.0,90.5,88.8,8.9,-0.5,-1.9
036,Australia,,0.9,0.0,1.6,,-100.0,
040,Austria,7.4,7.2,10.0,3.2,-2.7,38.9,-68.0
048,Bahrain,,91.7,90.8,84.9,,-0.9,-6.5
056,Belgium,0.0,1.3,1.2,2.4,,-7.7,100.0
100,Bulgaria,72.0,82.9,77.9,79.4,15.1,-6.0,1.9
170,Colombia,40.9,35.2,42.4,30.5,-14.0,20.5,-28.1
191,Croatia,92.3,96.4,99.5,98.6,4.4,3.2,-0.9
196,Cyprus,87.5,81.0,92.1,94.6,-7.4,13.7,2.7
203,Czechia,30.5,32.9,53.3,38.8,7.9,62.0,-27.2
208,Denmark,0.0,4.7,5.9,5.2,,25.5,-11.9
214,Dominican Republic,35.9,60.0,63.9,13.5,67.2,6.5,-78.9
218,Ecuador,63.7,68.9,70.0,73.5,8.2,1.6,5.0
231,Ethiopia,,67.4,58.9,57.0,,-12.6,-3.2
246,Finland,0.0,5.4,2.1,3.6,,-61.1,71.4
250,France,9.0,3.3,3.1,3.5,-63.3,-6.1,12.9
276,Germany,2.2,3.1,4.3,3.5,40.9,38.7,-18.6
300,Greece,92.3,94.6,96.9,95.9,2.5,2.4,-1.0
320,Guatemala,82.5,81.9,74.9,86.1,-0.7,-8.5,15.0
348,Hungary,51.0,73.0,83.0,57.9,43.1,13.7,-30.2
356,India,,78.0,67.0,66.4,,-14.1,-1.0
360,Indonesia,,63.5,66.8,58.6,,5.2,-12.2
368,Iraq,,62.4,56.6,65.6,,-9.4,16.0
372,Ireland,1.6,0.0,1.5,2.6,-100.0,,73.3
380,Italy,79.3,80.8,86.9,88.5,1.9,7.5,1.8
392,Japan,,0.8,0.8,0.9,,-6.2,20.1
400,Jordan,,67.2,62.7,75.1,,-6.7,19.7
414,Kuwait,,88.1,75.4,64.6,,-14.4,-14.4
428,Latvia,84.8,82.7,79.3,71.2,-2.5,-4.1,-10.2
422,Lebanon,,82.9,86.2,68.2,,4.0,-20.9
440,Lithuania,85.2,91.1,96.1,88.7,6.9,5.5,-7.7
480,Mauritius,,66.5,74.5,82.2,,12.0,10.4
524,Nepal,,43.9,48.6,59.4,,10.7,22.3
528,Netherlands,0.8,0.7,0.5,1.0,-12.5,-28.6,100.0
558,Nicaragua,65.3,79.0,77.4,65.7,20.9,-2.0,-15.1
578,Norway,0.0,0.0,0.0,2.9,,,
512,Oman,,86.7,83.4,68.9,,-3.9,-17.4
586,Pakistan,,61.5,66.0,61.1,,7.4,-7.4
608,Philippines,,36.6,50.7,42.2,,38.4,-16.7
616,Poland,71.0,78.2,82.7,76.4,10.1,5.8,-7.6
620,Portugal,31.1,15.4,10.4,31.1,-50.5,-32.5,199.0
634,Qatar,,14.3,0.0,0.0,,-100.0,
642,Romania,88.3,93.3,93.5,89.3,5.7,0.2,-4.5
682,Saudi Arabia,,87.4,83.7,80.1,,-4.2,-4.3
702,Singapore,,16.7,34.3,34.8,,105.7,1.4
703,Slovakia,55.2,30.8,61.2,61.3,-44.2,98.7,0.2
705,Slovenia,22.5,19.4,66.9,43.3,-13.8,244.8,-35.3
710,South Africa,,73.8,81.6,71.1,,10.6,-12.8
724,Spain,56.6,60.9,57.0,35.9,7.6,-6.4,-37.0
144,Sri Lanka,,54.3,62.4,56.4,,14.9,-9.6
752,Sweden,3.6,7.1,0.7,2.7,97.2,-90.1,285.7
764,Thailand,,56.3,64.2,57.0,,14.1,-11.3
788,Tunisia,,87.5,92.0,65.9,,5.1,-28.4
784,United Arab Emirates,,49.8,52.7,20.6,,5.9,-61.0
826,United Kingdom,2.1,1.7,2.1,1.0,-19.0,23.5,-51.0
