id,Country,Percent_2019,Percent_2020,Percent_2021,Percent_2022,Change_19_20,Change_20_21,Change_21_22
032,Argentina,11.9,16.5,27.2,27.0,38.6,65.0,-0.5
036,Australia,,0.1,0.2,0.3,,38.2,54.0
040,Austria,0.2,0.2,0.2,0.3,9.8,-19.1,36.3
048,Bahrain,,48.2,55.2,47.9,,14.6,-13.3
056,Belgium,0.3,0.2,0.2,0.3,-26.0,18.6,35.7
068,Bolivia,0.2,1.5,12.2,3.9,533.1,712.3,-67.7
100,Bulgaria,11.7,14.1,22.4,24.7,21.3,58.5,10.0
854,Burkina Faso,,0.0,17.9,10.5,,,-41.1
170,Colombia,6.1,7.0,7.7,6.4,14.5,9.5,-17.3
188,Costa Rica,1.6,0.7,6.9,0.0,-56.0,895.9,-100.0
191,Croatia,2.9,4.7,11.2,6.6,61.2,138.3,-40.8
196,Cyprus,5.3,8.5,11.7,17.4,62.2,37.1,49.1
203,Czechia,0.3,0.3,0.5,0.8,6.8,78.7,54.2
208,Denmark,0.1,0.3,0.2,0.1,127.8,-45.1,-45.3
214,Dominican Republic,0.6,1.1,6.6,1.2,77.2,485.5,-81.8
218,Ecuador,17.2,25.0,12.8,13.8,45.5,-48.6,7.7
233,Estonia,0.0,0.0,0.2,0.4,,,96.9
231,Ethiopia,,37.5,30.1,39.1,,-19.7,29.8
246,Finland,0.1,0.0,0.0,0.0,-73.9,-100.0,
250,France,0.2,0.1,0.3,0.3,-44.8,134.6,22.1
276,Germany,0.2,0.1,0.2,0.2,-42.4,69.2,22.0
300,Greece,35.7,37.5,49.1,43.3,4.9,30.9,-11.8
320,Guatemala,10.0,6.4,5.0,17.8,-35.4,-21.7,253.6
348,Hungary,0.3,0.2,0.3,1.6,-23.2,47.5,465.7
356,India,,43.1,44.0,42.0,,2.0,-4.5
360,Indonesia,,24.2,30.0,27.0,,24.0,-10.2
368,Iraq,,38.5,40.0,47.3,,3.9,18.2
372,Ireland,0.1,0.1,0.1,0.1,13.6,-38.6,-7.9
380,Italy,8.8,9.7,8.4,8.1,9.2,-12.5,-3.6
392,Japan,,0.1,0.1,0.1,,29.6,-11.3
400,Jordan,,24.4,47.4,32.6,,93.9,-31.1
414,Kuwait,,41.5,29.7,17.2,,-28.4,-42.2
428,Latvia,0.0,0.4,0.6,1.1,,70.9,67.3
422,Lebanon,,21.1,25.5,10.7,,20.7,-57.8
440,Lithuania,1.1,0.8,0.5,0.3,-29.9,-33.1,-39.2
442,Luxembourg,0.7,0.2,0.2,0.3,-72.2,19.5,52.9
466,Mali,,12.9,13.0,13.0,,1.4,0.0
470,Malta,2.2,2.5,2.1,1.4,12.4,-15.0,-35.4
480,Mauritius,,30.8,35.1,35.1,,13.9,0.1
524,Nepal,,26.6,33.8,35.9,,27.0,6.3
528,Netherlands,0.0,0.0,0.0,0.1,-52.1,106.2,98.8
558,Nicaragua,3.1,22.3,6.2,10.9,617.0,-72.3,76.8
578,Norway,0.0,0.0,0.1,0.1,-53.3,221.9,0.3
512,Oman,,38.4,49.5,23.9,,28.9,-51.7
586,Pakistan,,37.8,39.3,39.2,,3.8,-0.1
600,Paraguay,13.1,10.1,10.5,18.8,-23.0,3.8,79.0
608,Philippines,,19.4,28.7,23.2,,48.1,-19.2
616,Poland,2.3,2.8,7.6,6.0,20.5,170.5,-20.8
620,Portugal,3.3,3.9,3.9,3.8,17.4,-0.4,-0.7
634,Qatar,,3.0,1.3,3.0,,-58.4,139.6
642,Romania,13.7,25.0,28.5,23.0,82.4,13.9,-19.4
682,Saudi Arabia,,39.8,35.3,23.0,,-11.3,-34.8
702,Singapore,,0.9,1.3,1.4,,43.6,4.8
703,Slovakia,1.5,3.0,5.3,5.1,100.9,76.5,-3.7
705,Slovenia,0.1,0.0,0.2,0.4,-100.0,,123.7
710,South Africa,,30.6,37.4,33.4,,22.2,-10.7
724,Spain,2.6,1.3,1.4,1.7,-47.8,3.9,21.0
144,Sri Lanka,,17.1,22.3,27.0,,30.3,21.0
752,Sweden,0.0,0.1,0.1,0.0,195.6,144.9,-70.6
834,Tanzania,,17.9,2.3,9.6,,-86.9,309.5
764,Thailand,,12.0,14.7,13.1,,22.6,-10.8
626,Timor-Leste,,2.6,11.5,22.8,,350.0,97.7
788,Tunisia,,49.1,46.1,25.4,,-6.1,-44.9
784,United Arab Emirates,,7.3,8.0,3.3,,10.1,-59.2
826,United Kingdom,0.1,0.1,0.0,0.3,46.5,-100.0,
894,Zambia,,10.0,3.1,13.8,,-69.0,344.8
