Region/Country,Percentage of cultures with AMR 2019,Percentage of cultures with AMR 2020,Percentage of cultures with AMR 2021,Percentage of cultures with AMR 2022,Relative percent change 2019-2020,Relative percent change 2020-2021,,Relative percent change 2021-2022,Cultures per million inhabitants (CPM) 2019,Cultures per million inhabitants (CPM) 2020,Cultures per million inhabitants (CPM) 2021,Cultures per million inhabitants (CPM) 2022,Population Weight,CPM Weight,Precision Weight
Burkina Faso,,0,17.9,10.5,,,,-41.1,,1,1,2,0.0059,0.0029,0.0416
Ethiopia,,37.5,30.1,39.1,,-19.7,,29.8,,1,1,2,0.0328,0.0029,0.0978
Mali,,12.9,13,13,,1.4,,0,,3,3,3,0.006,0.009,0.1042
Mauritius,,30.8,35.1,35.1,,13.9,,0.1,,1020,895,839,0.0004,1,0.3135
South Africa,,30.6,37.4,33.4,,22.2,,-10.7,,362,353,384,0.0167,1,1
Tanzania,,17.9,2.3,9.6,,-86.9,,309.5,,0,2,5,0.0168,0.0035,0.1161
Zambia,,10,3.1,13.8,,-69,,344.8,,1,7,3,0.0053,0.0101,0.1004
Bahrain,,48.2,55.2,47.9,,14.6,,-13.3,,281,308,278,0.0004,0.8229,0.1758
Iran,,47.9,57.3,49.3,,19.6,,-13.8,,12,17,19,0.0242,0.0406,0.3003
Iraq,,38.5,40,47.3,,3.9,,18.2,,8,16,31,0.0116,0.0331,0.1891
Jordan,,24.4,47.4,32.6,,93.9,,-31.1,,36,29,134,0.003,0.0909,0.1711
Kuwait,,41.5,29.7,17.2,,-28.4,,-42.2,,66,81,279,0.0012,0.2049,0.1589
Lebanon,,21.1,25.5,10.7,,20.7,,-57.8,,64,38,216,0.0016,0.1425,0.169
Oman,,38.4,49.5,23.9,,28.9,,-51.7,,49,130,144,0.0012,0.2498,0.1656
Pakistan,,37.8,39.3,39.2,,3.8,,-0.1,,7,39,60,0.0648,0.064,0.5861
Qatar,,3,1.3,3,,-58.4,,139.6,,451,316,436,0.0008,1,1
Saudi Arabia,,39.8,35.3,23,,-11.3,,-34.8,,74,31,52,0.0085,0.1465,0.3408
Tunisia,,49.1,46.1,25.4,,-6.1,,-44.9,,33,42,26,0.0033,0.1043,0.1774
United Arab Emirates,,7.3,8,3.3,,10.1,,-59.2,,235,391,429,0.0026,0.8743,0.8497
India,,43.1,44,42,,2,,-4.5,,6,19,24,0.3866,0.0354,1
Indonesia,,24.2,30,27,,24,,-10.2,,4,6,17,0.0758,0.0149,0.3594
Myanmar (Burma),,14.9,20,6.7,,34,,-66.7,,8,0,0,0.0146,0.0121,0.1363
Nepal,,26.6,33.8,35.9,,27,,6.3,,19,20,31,0.008,0.0543,0.2177
Sri Lanka,,17.1,22.3,27,,30.3,,21,,22,42,43,0.0062,0.0893,0.2793
Thailand,,12,14.7,13.1,,22.6,,-10.8,,131,130,167,0.0197,0.3651,1
Timor-Leste,,2.6,11.5,22.8,,350,,97.7,,30,19,42,0.0004,0.0687,0.0598
Australia,,0.1,0.2,0.3,,38.2,,54,,244,241,254,0.0071,0.6781,1
Brunei,,15.5,18.7,31.8,,20.8,,69.6,,1521,1401,985,0.0001,1,0.2858
Japan,,0.1,0.1,0.1,,29.6,,-11.3,,1305,1362,1427,0.0348,1,1
Laos,,0,0,0,,,,,,30,25,53,0.002,0.0766,0.4523
Philippines,,19.4,28.7,23.2,,48.1,,-19.2,,37,44,53,0.0309,0.1127,0.6657
Singapore,,0.9,1.3,1.4,,43.6,,4.8,,271,495,317,0.0015,1,1
South Korea,,4.5,5.9,8.6,,31.8,,45.6,,136,135,147,0.0143,0.3798,1
Austria,0.2,0.2,0.2,0.3,9.8,-19.1,,36.3,1632,1392,1439,1383,0.0025,1,1
Belgium,0.3,0.2,0.2,0.3,-26,18.6,,35.7,817,869,977,886,0.0032,1,1
Bulgaria,11.7,14.1,22.4,24.7,21.3,58.5,,10,177,147,146,146,0.0019,0.4094,0.3523
Croatia,2.9,4.7,11.2,6.6,61.2,138.3,,-40.8,707,548,528,689,0.0011,1,0.7662
