Region/Country,Percentage of cultures with AMR 2019,Percentage of cultures with AMR 2020,Percentage of cultures with AMR 2021,Percentage of cultures with AMR 2022,Relative percent change 2019-2020,Relative percent change 2020-2021,Relative percent change 2021-2022,Cultures per million inhabitants (CPM) 2019,Cultures per million inhabitants (CPM) 2020,Cultures per million inhabitants (CPM) 2021,Cultures per million inhabitants (CPM) 2022,Population Weight,CPM Weight,Precision Weight
Burki Faso,,81.6,81.6,81,,0,-0.8,,2,4,5,0.0058,0.0071,0.178
Ethiopia,,76.1,81.9,81,,7.6,-1.2,,3,4,7,0.0318,0.0077,0.4269
Gha,,70.8,71.3,74.2,,0.6,4.1,,1,8,14,0.0085,0.0108,0.2069
Mali,,60.5,46.8,59,,-22.6,26,,14,10,13,0.0058,0.029,0.2884
Mauritius,,59.1,61.4,67.2,,3.9,9.5,,1707,1628,1472,0.0003,1,0.8418
Mozambique,,70,95.2,96,,35.9,0.9,,1,2,2,0.0082,0.0036,0.154
South Africa,,54.6,50,51.5,,-8.4,2.9,,575,695,542,0.0162,1,1
Tanzania,,81.1,68.3,78.5,,-15.7,15,,2,16,42,0.0163,0.0217,0.4273
Uganda,,73.1,74.3,81.8,,1.7,10.1,,2,1,0,0.0119,0.0031,0.1489
Zambia,,56,70.1,64.6,,25.2,-7.8,,1,29,12,0.0051,0.0366,0.2733
Bahrain,,61.6,63.8,59.5,,3.6,-6.7,,451,533,434,0.0004,1,0.4971
Iran,,65.8,64.2,68,,-2.4,6,,33,32,28,0.0235,0.0793,0.9952
Iraq,,88.1,77.5,77.4,,-12,-0.1,,6,12,24,0.0113,0.0223,0.4606
Jordan,,62,53.6,56.6,,-13.6,5.6,,47,38,197,0.0029,0.1036,0.3878
Kuwait,,63.9,53.8,49.7,,-15.8,-7.6,,92,154,485,0.0012,0.3012,0.4187
Lebanon,,56.3,55.7,35.7,,-1.1,-35.8,,91,64,467,0.0015,0.1893,0.3752
Oman,,79.1,76.3,74.5,,-3.5,-2.4,,203,356,404,0.0012,0.6847,0.7522
Pakistan,,81.1,84.6,82.6,,4.2,-2.4,,5,29,48,0.0629,0.0416,1
Qatar,,37,28.7,35,,-22.5,21.9,,778,543,723,0.0008,1,0.8147
Saudi Arabia,,69.4,64,56.7,,-7.8,-11.4,,146,69,118,0.0083,0.2631,1
Tunisia,,52.3,46.8,44.6,,-10.6,-4.7,,67,62,74,0.0032,0.1579,0.4957
United Arab Emirates,,35.9,36.9,34.3,,2.7,-6.9,,437,767,781,0.0025,1,1
India,,78.9,71.9,74.9,,-8.9,4.2,,7,16,27,0.3755,0.0288,1
Indonesia,,56.2,59.9,64.4,,6.6,7.6,,9,14,35,0.0736,0.0279,1
Myanmar (Burma),,61.5,80,79.2,,30.1,-1,,10,0,1,0.0142,0.0119,0.2299
Nepal,,69.6,69.6,75.8,,0,8.9,,20,24,55,0.0078,0.054,0.4887
Sri Lanka,,62.8,61.6,60.1,,-2,-2.5,,28,72,50,0.006,0.1214,0.5981
Thailand,,30,28.8,26.4,,-3.7,-8.5,,145,138,160,0.0192,0.3471,1
Timor-Leste,,68,55.1,61,,-19,10.8,,57,66,130,0.0004,0.1512,0.1671
Western Pacific,,,,,,,,,,,,,,
Australia,,7.5,6.8,6.7,,-9,-2.2,,703,714,765,0.0069,1,1
Brunei,,16.5,13,12.2,,-21.5,-5.7,,1674,1270,974,0.0001,1,0.6441
Japan,,12.6,12.5,12.4,,-1,-0.8,,2987,3124,3324,0.0338,1,1
Laos,,47,36.8,40.6,,-21.6,10.4,,79,68,86,0.002,0.1788,0.42
Philippines,,39.8,41.9,40.1,,5.3,-4.2,,61,69,81,0.03,0.1601,1
Singapore,,26.9,21.6,22.2,,-19.6,2.7,,553,1019,883,0.0015,1,1
