Region/Country,Percentage of cultures with AMR 2019,Percentage of cultures with AMR 2020,Percentage of cultures with AMR 2021,Percentage of cultures with AMR 2022,Relative percent change 2019-2020,Relative percent change 2020-2021,Relative percent change 2021-2022,Cultures per million inhabitants (CPM) 2019,Cultures per million inhabitants (CPM) 2020,Cultures per million inhabitants (CPM) 2021,Cultures per million inhabitants (CPM) 2022,Population Weight,CPM Weight,Precision Weight
Africa,,,,,,,,,,,,,,
Burki Faso,,68.8,51.2,30.4,,-25.6,-40.5,,2,2,2,0.0057,0.0177,0.1842
Ethiopia,,39.3,59.2,61.8,,50.8,4.4,,0,1,1,0.0314,0.0067,0.2476
Mali,,10.4,2.1,13.6,,-79.6,540.9,,2,2,2,0.0057,0.0222,0.272
Mauritius,,39.6,43,39.4,,8.4,-8.4,,244,338,342,0.0003,1,0.5689
Mozambique,,25,25,6.7,,0,-73.3,,1,1,0,0.0081,0.0073,0.1414
Nigeria,,75.4,66.7,65.1,,-11.6,-2.4,,0,0,0,0.0565,0.0019,0.1974
South Africa,,19.6,16.6,16.5,,-15.3,-1,,102,99,98,0.016,1,1
Tanzania,,50.2,64.9,59.5,,29.2,-8.3,,4,12,12,0.0161,0.0802,0.6373
Zambia,,55,69.4,90,,26.1,29.8,,1,3,1,0.005,0.0217,0.1896
Eastern Mediterranean,,,,,,,,,,,,,,
Egypt,,100,92.3,69.4,,-7.7,-24.8,,0,0,1,0.0289,0.0018,0.1542
Iran,,44.1,32.8,34.7,,-25.6,5.8,,4,4,5,0.0232,0.0435,0.5841
Iraq,,86.4,84.6,87.8,,-2,3.7,,1,1,3,0.0111,0.0073,0.1929
Jordan,,58.4,70.8,76.3,,21.2,7.7,,14,10,5,0.0029,0.1227,0.3502
Lebanon,,35.1,37.2,52.5,,6,41.1,,10,8,7,0.0015,0.0891,0.2138
Oman,,31.8,41.5,28.6,,30.3,-31.1,,5,9,9,0.0012,0.071,0.1678
Pakistan,,69.5,82.6,67.1,,18.8,-18.8,,1,1,9,0.0621,0.0075,0.4616
Qatar,,32.1,31.6,30.1,,-1.4,-4.9,,55,49,61,0.0007,0.5291,0.3771
Saudi Arabia,,49.1,50.4,52.1,,2.6,3.3,,21,8,14,0.0082,0.1509,0.6078
Tunisia,,12.1,17.2,13.6,,42.5,-21.1,,13,19,12,0.0032,0.1649,0.5728
United Arab Emirates,,42.5,35.7,39.9,,-16.2,11.9,,59,59,64,0.0025,0.6002,0.7063
South-East Asia,,,,,,,,,,,,,,
India,,64.7,55.7,54.9,,-13.9,-1.5,,2,6,7,0.3705,0.0372,1
Indonesia,,36.2,37.7,35.2,,4,-6.7,,1,2,4,0.0726,0.0119,0.519
Nepal,,79,57.9,83.3,,-26.7,43.9,,3,2,1,0.0077,0.0242,0.272
Sri Lanka,,53.3,47.2,51.3,,-11.4,8.7,,7,13,24,0.006,0.1062,0.4429
Thailand,,10.6,7.6,7.5,,-28.4,-1.8,,4,8,11,0.0189,0.0571,1
Timor-Leste,,21.4,37.5,38.1,,75,1.6,,11,12,15,0.0004,0.1149,0.1086
Western Pacific,,,,,,,,,,,,,,
Australia,,17.7,16.9,15,,-4.2,-11.5,,106,113,123,0.0068,1,1
Brunei,,12.5,14.6,12.2,,17.3,-16.8,,811,669,326,0.0001,1,0.7756
Japan,,35.9,35.1,33.9,,-2.2,-3.3,,201,212,234,0.0334,1,1
Laos,,22.2,29.9,55.9,,34.5,87,,11,12,5,0.0019,0.1162,0.3057
Philippines,,45.7,44.6,44.4,,-2.4,-0.4,,10,11,8,0.0296,0.1072,1
South Korea,,47.6,45.2,45.7,,-4.9,1.1,,14,15,14,0.0137,0.1476,0.8007
Europe,,,,,,,,,,,,,,
Austria,5.2,4.4,3.1,3.9,-15.4,-29.5,25.8,750,639,707,691,0.0024,1,1
Belgium,6.7,6.9,4.1,4.2,3,-40.6,2.4,204,253,279,258,0.003,1,1
Bulgaria,14.8,11.8,15.2,12,-20.3,28.8,-21.1,93,63,61,68,0.0018,0.6317,0.8892
Croatia,24.9,29.2,34.8,31.1,17.3,19.2,-10.6,179,214,305,312,0.001,1,0.9949
Cyprus,36.2,49.1,42.9,50.8,35.6,-12.6,18.4,91,164,270,294,0.0003,1,0.4884
Czechia,12.5,9.3,9.4,7.5,-25.6,1.1,-20.2,400,396,432,460,0.0028,1,1
Denmark,2.2,1.7,1.8,1.9,-22.7,5.9,5.6,748,821,872,662,0.0015,1,1
Estonia,3,3,1.5,2.2,0,-50,46.7,553,552,598,611,0.0004,1,1
Finland,2.3,2.6,2.6,2.3,13,0,-11.5,896,792,876,872,0.0015,1,1
France,11.6,12.1,11,10.4,4.3,-9.1,-5.5,197,327,350,321,0.0174,1,1
Germany,6.7,5.5,4.9,3.9,-17.9,-10.9,-20.4,286,345,378,421,0.0221,1,1
Greece,37.6,40.2,41.9,39,6.9,4.2,-6.9,32,84,109,175,0.0028,0.9794,0.9475
Hungary,19.4,21,19.3,20.9,8.2,-8.1,8.3,386,310,485,428,0.0026,1,1
Iceland,5.8,5.2,1.1,2.8,-10.3,-78.8,154.5,678,637,515,765,0.0001,1,1
Ireland,12.6,11.6,10.6,10.4,-7.9,-8.6,-1.9,467,413,485,466,0.0013,1,1
Italy,34.3,33.5,30,29.9,-2.3,-10.4,-0.3,322,364,379,471,0.0158,1,1
Latvia,7.8,9.3,5.3,7.2,19.2,-43,35.8,438,370,483,547,0.0005,1,1
Lithuania,9.3,9.8,9,9.4,5.4,-8.2,4.4,469,504,534,593,0.0007,1,1
Luxembourg,6.2,3.1,5.5,4.7,-50,77.4,-14.5,681,623,627,728,0.0002,1,1
Malta,24,19.6,20.4,19,-18.3,4.1,-6.9,304,358,395,440,0.0001,1,0.5076
Netherlands,1.5,1.5,1.5,1.9,0,0,26.7,369,374,366,406,0.0047,1,1
Norway,1,1.6,0.9,1.1,60,-43.7,22.2,617,578,608,662,0.0014,1,1
Poland,14.9,13.8,16.5,13.3,-7.4,19.6,-19.4,96,71,90,105,0.0101,0.8172,1
Portugal,34.8,29.7,25.1,25,-14.7,-15.5,-0.4,633,637,554,681,0.0027,1,1
Romania,46.9,47.3,41,38.9,0.9,-13.3,-5.1,64,42,48,62,0.0051,0.4544,0.8643
Slovakia,27.2,24.8,22.3,18,-8.8,-10.1,-19.3,207,198,213,213,0.0014,1,1
Slovenia,7.5,9.8,7.8,8.7,30.7,-20.4,11.5,632,680,727,610,0.0006,1,1
Spain,23.3,23.1,24.3,25.8,-0.9,5.2,6.2,115,97,76,107,0.0126,0.8818,1
Sweden,1.8,2.3,2,1.9,27.8,-13,-5,1163,1331,1490,1518,0.0027,1,1
United Kingdom,5.9,5.1,5.6,8,-13.6,9.8,42.1,262,220,129,99,0.0178,1,1
Central and South America,,,,,,,,,,,,,,
Costa Rica,46.7,44.3,39.9,38.4,-5.1,-10,-3.9,83,83,63,55,0.0013,0.7401,0.5632
Dominican Republic,63.6,85.4,94.4,68.6,34.3,10.5,-27.3,467,20,386,615,0.0029,1,1
Ecuador,36.8,36.2,38,35.6,-1.7,5,-6.3,373,192,281,135,0.0046,1,1
Paraguay,56.4,56.3,50.6,46.4,-0.1,-10.2,-8.2,239,296,274,333,0.0017,1,1
High Income,,,,,,,,,,,,,,
Australia,,17.7,16.9,15,,-4.2,-11.5,,106,113,123,0.0068,1,1
Austria,,4.4,3.1,3.9,,-29.5,25.8,,639,707,691,0.0024,1,1
Belgium,,6.9,4.1,4.2,,-40.6,2.4,,253,279,258,0.003,1,1
Brunei,,12.5,14.6,12.2,,17.3,-16.8,,811,669,326,0.0001,1,0.7756
Bulgaria,,11.8,15.2,12,,28.8,-21.1,,63,61,68,0.0018,0.6317,0.8892
Croatia,,29.2,34.8,31.1,,19.2,-10.6,,214,305,312,0.001,1,0.9949
Cyprus,,49.1,42.9,50.8,,-12.6,18.4,,164,270,294,0.0003,1,0.4884
Czechia,,9.3,9.4,7.5,,1.1,-20.2,,396,432,460,0.0028,1,1
Denmark,,1.7,1.8,1.9,,5.9,5.6,,821,872,662,0.0015,1,1
Estonia,,3,1.5,2.2,,-50,46.7,,552,598,611,0.0004,1,1
Finland,,2.6,2.6,2.3,,0,-11.5,,792,876,872,0.0015,1,1
France,,12.1,11,10.4,,-9.1,-5.5,,327,350,321,0.0174,1,1
Germany,,5.5,4.9,3.9,,-10.9,-20.4,,345,378,421,0.0221,1,1
Greece,,40.2,41.9,39,,4.2,-6.9,,84,109,175,0.0028,0.9794,0.9475
Hungary,,21,19.3,20.9,,-8.1,8.3,,310,485,428,0.0026,1,1
Iceland,,5.2,1.1,2.8,,-78.8,154.5,,637,515,765,0.0001,1,1
Ireland,,11.6,10.6,10.4,,-8.6,-1.9,,413,485,466,0.0013,1,1
Italy,,33.5,30,29.9,,-10.4,-0.3,,364,379,471,0.0158,1,1
Japan,,35.9,35.1,33.9,,-2.2,-3.3,,201,212,234,0.0334,1,1
Latvia,,9.3,5.3,7.2,,-43,35.8,,370,483,547,0.0005,1,1
Lithuania,,9.8,9,9.4,,-8.2,4.4,,504,534,593,0.0007,1,1
Luxembourg,,3.1,5.5,4.7,,77.4,-14.5,,623,627,728,0.0002,1,1
Malta,,19.6,20.4,19,,4.1,-6.9,,358,395,440,0.0001,1,0.5076
Netherlands,,1.5,1.5,1.9,,0,26.7,,374,366,406,0.0047,1,1
Norway,,1.6,0.9,1.1,,-43.7,22.2,,578,608,662,0.0014,1,1
Oman,,31.8,41.5,28.6,,30.3,-31.1,,5,9,9,0.0012,0.071,0.1678
Poland,,13.8,16.5,13.3,,19.6,-19.4,,71,90,105,0.0101,0.8172,1
Portugal,,29.7,25.1,25,,-15.5,-0.4,,637,554,681,0.0027,1,1
Qatar,,32.1,31.6,30.1,,-1.4,-4.9,,55,49,61,0.0007,0.5291,0.3771
Romania,,47.3,41,38.9,,-13.3,-5.1,,42,48,62,0.0051,0.4544,0.8643
Saudi Arabia,,49.1,50.4,52.1,,2.6,3.3,,21,8,14,0.0082,0.1509,0.6078
Slovakia,,24.8,22.3,18,,-10.1,-19.3,,198,213,213,0.0014,1,1
Slovenia,,9.8,7.8,8.7,,-20.4,11.5,,680,727,610,0.0006,1,1
South Korea,,47.6,45.2,45.7,,-4.9,1.1,,14,15,14,0.0137,0.1476,0.8007
Spain,,23.1,24.3,25.8,,5.2,6.2,,97,76,107,0.0126,0.8818,1
Sweden,,2.3,2,1.9,,-13,-5,,1331,1490,1518,0.0027,1,1
United Arab Emirates,,42.5,35.7,39.9,,-16.2,11.9,,59,59,64,0.0025,0.6002,0.7063
United Kingdom,,5.1,5.6,8,,9.8,42.1,,220,129,99,0.0178,1,1
Upper Middle Income,,,,,,,,,,,,,,
Costa Rica,,44.3,39.9,38.4,,-10,-3.9,,83,63,55,0.0013,0.7401,0.5632
Dominican Republic,,85.4,94.4,68.6,,10.5,-27.3,,20,386,615,0.0029,1,1
Ecuador,,36.2,38,35.6,,5,-6.3,,192,281,135,0.0046,1,1
Indonesia,,36.2,37.7,35.2,,4,-6.7,,1,2,4,0.0726,0.0119,0.519
Iran,,44.1,32.8,34.7,,-25.6,5.8,,4,4,5,0.0232,0.0435,0.5841
Iraq,,86.4,84.6,87.8,,-2,3.7,,1,1,3,0.0111,0.0073,0.1929
